INDIAN ELECTIONS-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE ,   CONSTITUENCY,,  NAME,WINNER,   PARTY,  SYMBOL, GENDER,    AGE,       CATEGORY,,      EDUCATION,,          ASSESTS,,    POSTAL VOTES,       LIABILITIES,     TOTAL VOTES,,,,,,,OVERALL, TOTAL VOTES POLLED,,,        MARGIN,
BIHAR,NAWADA,,SHRAWAN KUMAR,0,RASHTRIYA JANATA DAL,NIL,MALE,50,HINDU,,10TH PASS,,"Rs 6,90,99,613 ~6 Crore+",,,"Rs 2,33,40,492 ~2 Crore+",342938,,,,,,,,,,,-67670,
GOA,NORTH GOA,,SHRIPAD YESSO NAIK,1,BJP,LOTUS,MALE,71,HINDU,,GRADUATE,,"Rs 10,86,83,533 ~10 Crore+",,,"Rs 5,08,675 ~5 Lacs+",257326,,,,,,,,,,,116015,
GOA,NORTH GOA,,RAMAKANT KHALAP,0,INC,HAND,MALE,77,HINDU,,GRADUATE,,"Rs 17,97,96,602 ~17 Crore+",,,NIL,141311,,,,,,,,,,,-116015,
KACHCHH,GUJURAT,,CHAVDA VINOD LAKHAMSHI,1,BJP,LOTUS,MALE,45,HINDU,,POST GRADUATE,,"Rs 7,09,80,147 ~7 Crore+",,,"Rs 1,56,05,895 ~1 Crore+",659574,,,,,,,,,,,268782,
KACHCHH,GUJURAT,,NITESH PARBATBHAI LALAN (MATANG),0,INC,HAND,MALE,30,HINDU,,12TH PASS,,"Rs 37,60,261 ~37 Lacs+",,,NIL,390287,,,,,,,,,,,-268782,
PATAN,GUJURAT,,DABHI BHARATSINHJI SHANKARJI,1,BJP,LOTUS,MALE,69,HINDU,,GRADUATE,,"Rs 6,84,30,049 ~6 Crore+",,,"Rs 29,57,861 ~29 Lacs+",591947,,,,,,,,,,,31876,
PATAN,GUJURAT,,CHANDANJI TALAJI THAKOR,0,INC,HAND,MALE,51,HINDU,,10TH PASS,,"Rs 13,72,02,075 ~13 Crore+",,,"Rs 9,57,65,693 ~9 Crore+",560071,,,,,,,,,,,31876,
PATAN,GUJURAT,,BALVANT CHHATRALIYA,0,BSP,NIL,MALE,42,HINDU,,10TH PASS,,"Rs 8,13,75,000 ~8 Crore+",,,NIL,5865,,,,,,,,,,,-586082,
GANDHINAGAR,GUJURAT,,AMIT SHAH,1,BJP,LOTUS,MALE,59,HINDU,,12TH PASS,,"Rs 65,67,12,498 ~65 Crore+",,,"Rs 42,09,587 ~42 Lacs+",1010972,,,,,,,,,,,744716,
GANDHINAGAR,GUJURAT,,SONAL RAMANBHAI PATEL,0,INC,HAND,FEMALE,64,HINDU,,POST GRADUATE,,"Rs 17,59,84,810 ~17 Crore+",,,"Rs 1,48,03,218 ~1 Crore+",266256,,,,,,,,,,,-744716,
